,Medu,Fedu,failures,Grade,Pedu
0,4,4,0,6,4.0
1,4,4,0,6,4.0
2,4,4,0,6,4.0
3,1,1,0,6,1.0
4,1,1,0,6,1.0
5,1,1,3,10,1.0
6,1,1,3,10,1.0
7,4,2,0,15,3.0
8,4,2,0,15,3.0
9,3,3,0,10,3.0
10,3,3,0,10,3.0
11,3,3,0,10,3.0
12,3,3,0,10,3.0
13,3,3,0,10,3.0
14,3,3,0,10,3.0
15,3,3,0,10,3.0
16,3,3,0,10,3.0
17,3,3,0,10,3.0
18,3,3,0,10,3.0
19,3,3,0,10,3.0
20,3,3,0,10,3.0
21,3,3,0,10,3.0
22,3,3,0,10,3.0
23,3,3,0,10,3.0
24,3,3,0,10,3.0
25,3,3,0,10,3.0
26,3,3,0,10,3.0
27,3,3,0,10,3.0
28,3,3,0,10,3.0
29,3,3,0,10,3.0
30,3,3,0,10,3.0
31,3,3,0,10,3.0
32,3,3,0,10,3.0
33,3,3,0,10,3.0
34,3,3,0,10,3.0
35,3,3,0,10,3.0
36,3,3,0,10,3.0
37,3,3,0,10,3.0
38,3,3,0,10,3.0
39,3,3,0,10,3.0
40,3,3,0,10,3.0
41,3,3,0,10,3.0
42,3,3,0,10,3.0
43,3,3,0,10,3.0
44,3,3,0,10,3.0
45,3,3,0,10,3.0
46,3,3,0,10,3.0
47,3,3,0,10,3.0
48,3,3,0,10,3.0
49,3,3,0,10,3.0
50,3,3,0,10,3.0
51,4,3,0,15,3.5
52,4,3,0,15,3.5
53,4,3,0,15,3.5
54,4,3,0,15,3.5
55,4,3,0,15,3.5
56,4,3,0,15,3.5
57,4,3,0,15,3.5
58,4,3,0,15,3.5
59,4,3,0,15,3.5
60,4,3,0,15,3.5
61,4,3,0,15,3.5
62,4,3,0,15,3.5
63,4,3,0,15,3.5
64,4,3,0,15,3.5
65,4,3,0,15,3.5
66,4,3,0,15,3.5
67,4,3,0,15,3.5
68,4,3,0,15,3.5
69,4,3,0,15,3.5
70,4,3,0,15,3.5
71,4,3,0,15,3.5
72,4,3,0,15,3.5
73,4,3,0,15,3.5
74,4,3,0,15,3.5
75,4,3,0,15,3.5
76,4,3,0,15,3.5
77,4,3,0,15,3.5
78,4,3,0,15,3.5
79,4,3,0,15,3.5
80,4,3,0,15,3.5
81,4,3,0,15,3.5
82,4,3,0,15,3.5
83,4,3,0,15,3.5
84,4,3,0,15,3.5
85,4,3,0,15,3.5
86,4,3,0,15,3.5
87,4,3,0,15,3.5
88,4,3,0,15,3.5
89,4,3,0,15,3.5
90,4,3,0,15,3.5
91,4,3,0,15,3.5
92,4,3,0,15,3.5
93,4,3,0,15,3.5
94,4,3,0,15,3.5
95,4,3,0,15,3.5
96,4,3,0,15,3.5
97,4,3,0,15,3.5
98,4,3,0,15,3.5
99,4,3,0,15,3.5
100,4,3,0,15,3.5
101,4,3,0,15,3.5
102,4,3,0,15,3.5
103,4,3,0,15,3.5
104,4,3,0,15,3.5
105,4,3,0,15,3.5
106,4,3,0,15,3.5
107,2,2,0,11,2.0
108,2,2,0,11,2.0
109,2,2,0,11,2.0
110,2,2,0,11,2.0
111,2,2,0,11,2.0
112,2,2,0,11,2.0
113,2,2,0,11,2.0
114,2,2,0,11,2.0
115,2,2,0,11,2.0
116,2,2,0,11,2.0
117,2,2,0,11,2.0
118,2,2,0,11,2.0
119,2,2,0,11,2.0
120,2,2,0,11,2.0
121,2,2,0,11,2.0
122,2,2,0,11,2.0
123,2,2,0,11,2.0
124,2,2,0,11,2.0
125,2,2,0,11,2.0
126,2,2,0,11,2.0
127,2,2,0,11,2.0
128,2,2,0,11,2.0
129,2,2,0,11,2.0
130,2,2,0,11,2.0
131,2,2,0,11,2.0
132,2,2,0,11,2.0
133,2,2,0,11,2.0
134,2,2,0,11,2.0
135,2,2,0,11,2.0
136,2,2,0,11,2.0
137,2,2,0,11,2.0
138,2,2,0,11,2.0
139,2,2,0,11,2.0
