student_ic,age,famsize,Pstatus,internet,failures,activities,romantic_relationship,family_relationship,freetime,socialising,Weekday_alcohol,Weekend_alcohol,absence,math_avg,por_avg,alc_avg
1,15,GT3,T,yes,1,yes,no,3,1,2,1,1,2,9.0,13.0,1.0
2,15,GT3,T,yes,2,no,yes,3,3,4,2,4,2,6.333333333333333,11.666666666666666,3.0
3,15,GT3,T,no,0,yes,no,4,3,1,1,1,8,13.333333333333334,13.0,1.0
4,15,GT3,T,yes,0,yes,no,4,3,2,1,1,2,9.0,10.333333333333334,1.0
5,15,GT3,T,yes,2,yes,yes,4,2,1,2,3,8,10.0,13.0,2.5
6,15,GT3,T,yes,0,yes,no,4,3,2,1,1,2,11.666666666666666,11.666666666666666,1.0
7,15,GT3,T,yes,2,no,yes,4,2,2,2,2,0,4.0,11.0,2.0
8,15,LE3,T,yes,0,no,no,4,1,3,1,3,2,8.333333333333334,10.666666666666666,2.0
9,15,LE3,T,yes,0,no,no,4,4,2,2,3,12,16.0,15.0,2.5
10,15,GT3,A,no,0,no,no,4,3,3,1,1,10,10.666666666666666,10.0,1.0
11,15,GT3,A,yes,0,yes,no,4,3,2,1,1,0,14.666666666666666,14.666666666666666,1.0
12,15,GT3,T,yes,0,yes,yes,4,3,3,1,2,0,2.6666666666666665,12.0,1.5
13,15,GT3,T,yes,0,yes,no,4,3,2,2,3,2,9.666666666666666,12.333333333333334,2.5
14,15,GT3,T,yes,0,no,no,4,4,2,1,2,0,10.0,12.0,1.5
15,15,GT3,T,yes,0,no,no,4,3,2,1,1,2,10.666666666666666,12.666666666666666,1.0
16,15,GT3,T,yes,0,no,no,3,2,3,1,2,2,15.333333333333334,14.0,1.5
17,15,GT3,T,yes,0,yes,no,5,2,2,1,1,4,11.333333333333334,11.666666666666666,1.0
18,15,GT3,T,yes,0,no,no,5,1,2,1,1,8,7.666666666666667,10.0,1.0
19,15,GT3,T,no,0,yes,no,3,5,1,1,1,0,7.0,11.0,1.0
20,15,GT3,T,yes,3,no,no,3,3,2,1,1,0,4.333333333333333,11.0,1.0
21,15,GT3,T,yes,0,no,no,4,3,5,1,1,26,6.333333333333333,10.333333333333334,1.0
22,15,GT3,T,yes,0,yes,yes,3,2,2,1,1,2,14.666666666666666,14.0,1.0
23,15,GT3,T,yes,0,yes,no,5,3,3,1,3,4,13.666666666666666,15.0,2.0
